model_name,model_architecture,model_label,trigger_color,original_trigger_size,our_trigger_size,num_classes,clean_mean,clean_std,backd_mean,backd_std
id-00000000,resnet50,backdoor,"(111, 179, 25)",30,25,5,0.17000551521778107,0.3740883767604828,2.5059974193573,1.3659379482269287
id-00000001,densenet121,clean,"(0, 0, 0)",None,25,5,0.1718720942735672,0.434141218662262,1.3998035192489624,1.1314789056777954
id-00000002,inceptionv3,backdoor,"(192, 185, 209)",25,25,5,0.22051648795604706,0.7524352669715881,4.873237133026123,1.4099477529525757
id-00000003,inceptionv3,backdoor,"(36, 119, 108)",53,25,5,0.25288793444633484,0.5140451788902283,2.313666820526123,1.659191012382507
id-00000004,resnet50,clean,"(0, 0, 0)",None,25,5,0.1672448068857193,0.13731811940670013,1.5071943998336792,1.7745361328125
id-00000005,resnet50,backdoor,"(203, 136, 4)",52,25,5,0.3887201249599457,0.2604157626628876,3.625269889831543,0.9978715181350708
id-00000006,resnet50,backdoor,"(203, 136, 4)",52,25,5,0.3954044282436371,0.2574005126953125,3.631452798843384,1.0081504583358765
id-00000007,densenet121,backdoor,"(96, 149, 5)",46,25,5,0.13694317638874054,0.13536879420280454,2.526756763458252,1.482125163078308
id-00000008,resnet50,clean,"(0, 0, 0)",None,25,5,0.6206983923912048,0.5453822612762451,1.1375322341918943,0.8728272318840027
id-00000010,inceptionv3,backdoor,"(56, 72, 106)",19,25,5,0.18363137543201447,0.4348856210708618,4.30336332321167,2.209704637527466
id-00000011,densenet121,clean,"(0, 0, 0)",None,25,5,0.32138165831565857,0.4338560700416565,1.3435354232788086,1.1619806289672852
id-00000012,resnet50,backdoor,"(203, 136, 4)",52,25,5,0.39254668354988104,0.2559800148010254,3.5810532569885254,0.9999771714210509
id-00000013,resnet50,backdoor,"(202, 154, 200)",51,25,5,0.5772600173950195,0.473885715007782,3.289539098739624,1.9958915710449219
id-00000014,inceptionv3,backdoor,"(45, 62, 125)",24,25,5,0.19721372425556183,0.4606687128543854,2.3941550254821777,1.3390969038009644
id-00000015,densenet121,backdoor,"(45, 149, 101)",49,25,5,0.14515799283981323,0.13827238976955414,3.4100863933563232,2.2619433403015137
id-00000016,inceptionv3,backdoor,"(203, 22, 147)",49,25,5,0.21321584284305573,0.3180277645587921,5.330113410949707,0.5564327836036682
id-00000017,inceptionv3,clean,"(0, 0, 0)",None,25,5,0.09603945165872574,0.07166613638401031,2.834408760070801,1.9202762842178345
id-00000018,resnet50,backdoor,"(203, 136, 4)",52,25,5,0.4196518659591675,0.265733540058136,3.5966293811798096,1.0104527473449707
id-00000020,densenet121,backdoor,"(205, 89, 197)",51,25,5,0.5660145878791809,0.48502275347709656,6.050556659698486,2.1635968685150146
id-00000021,densenet121,clean,"(0, 0, 0)",None,25,5,0.20802022516727448,0.3999122381210327,0.6130899786949158,0.7286050319671631
id-00000022,inceptionv3,backdoor,"(238, 12, 38)",30,25,5,0.17084020376205444,0.20704440772533417,2.1692147254943848,1.2957819700241089
id-00000023,inceptionv3,clean,"(0, 0, 0)",None,25,5,0.15711264312267303,0.17648279666900635,2.209780216217041,1.4937492609024048
id-00000025,resnet50,clean,"(0, 0, 0)",None,25,5,0.1615433394908905,0.16319476068019867,0.3624911904335022,0.4077984690666199
id-00000027,densenet121,backdoor,"(168, 15, 132)",49,25,5,0.14267566800117493,0.11755472421646118,1.6231399774551392,1.8569355010986328
id-00000028,resnet50,backdoor,"(203, 136, 4)",52,25,5,0.37574681639671326,0.25663521885871887,3.6049797534942627,1.0060091018676758
id-00000029,densenet121,backdoor,"(121, 46, 106)",31,25,5,0.3553052246570587,0.3875672519207001,4.856478214263916,0.9372718930244446
id-00000030,inceptionv3,backdoor,"(235, 198, 60)",50,25,5,0.49104446172714233,0.41136670112609863,4.615359306335449,1.0740107297897339
id-00000031,resnet50,clean,"(0, 0, 0)",None,25,5,0.11454112827777863,0.09992391616106033,0.8594533205032349,0.9998308420181274
id-00000032,resnet50,clean,"(0, 0, 0)",None,25,5,0.31694960594177246,0.44831618666648865,0.6345150470733643,0.7086153626441956
id-00000033,inceptionv3,backdoor,"(119, 14, 166)",51,25,5,0.16311654448509216,0.36022013425827026,3.305274724960327,1.4584989547729492
id-00000034,densenet121,backdoor,"(65, 40, 243)",26,25,5,0.22967758774757385,0.44819334149360657,2.8301398754119873,1.0121567249298096
id-00000035,resnet50,backdoor,"(203, 136, 4)",52,25,5,0.392548531293869,0.2606605589389801,3.600116729736328,1.0103827714920044
id-00000036,inceptionv3,backdoor,"(130, 101, 204)",46,25,5,0.2810315489768982,0.44042834639549255,4.055660247802734,1.6793371438980103
id-00000037,resnet50,backdoor,"(203, 136, 4)",52,25,5,0.40677410364151,0.26170650124549866,3.6298131942749023,1.0157638788223267
id-00000038,inceptionv3,clean,"(0, 0, 0)",None,25,5,0.14400815963745117,0.1387663632631302,2.143857479095459,1.7704540491104126
id-00000039,densenet121,clean,"(0, 0, 0)",None,25,5,0.3543383777141571,0.32459208369255066,1.016319990158081,1.0530376434326172
id-00000040,inceptionv3,backdoor,"(114, 99, 91)",49,25,5,0.15555743873119354,0.15008948743343353,2.284132957458496,1.4517605304718018
id-00000041,inceptionv3,backdoor,"(229, 168, 189)",50,25,5,0.1353166699409485,0.20957478880882263,3.105896472930908,1.8131154775619507
id-00000042,densenet121,backdoor,"(31, 217, 75)",25,25,5,0.24525350332260132,0.5545548796653748,4.949446201324463,1.5232428312301636
id-00000043,densenet121,clean,"(0, 0, 0)",None,25,5,0.21244680881500244,0.14956098794937134,1.0741679668426514,1.4025059938430786
id-00000044,inceptionv3,clean,"(0, 0, 0)",None,25,5,0.10396108776330948,0.07511641830205917,1.2530651092529297,1.3294702768325806
id-00000045,inceptionv3,backdoor,"(106, 244, 54)",48,25,5,0.1658843755722046,0.3548280596733093,3.049973726272583,1.4534825086593628
id-00000046,resnet50,backdoor,"(203, 136, 4)",52,25,5,0.38395512104034424,0.259251207113266,3.603229284286499,1.0117322206497192
id-00000047,densenet121,clean,"(0, 0, 0)",None,25,5,0.11607292294502258,0.08746849000453949,1.2394719123840332,1.3450732231140137
id-00000048,densenet121,clean,"(0, 0, 0)",None,25,5,0.15246523916721344,0.31448331475257874,0.7985313534736633,0.801577091217041
id-00000050,resnet50,clean,"(0, 0, 0)",None,25,5,0.36919739842414856,0.44262415170669556,2.0803275108337402,1.6656097173690796
id-00000051,densenet121,clean,"(0, 0, 0)",None,25,5,0.3099713623523712,0.38148248195648193,1.0024670362472534,0.7921422719955444
id-00000052,inceptionv3,clean,"(0, 0, 0)",None,25,5,0.11156782507896423,0.11946170777082443,1.1989052295684814,0.9051100611686707
id-00000053,inceptionv3,clean,"(0, 0, 0)",None,25,5,0.18277718126773834,0.2796110212802887,2.028449773788452,1.6486629247665405
id-00000054,resnet50,backdoor,"(177, 44, 206)",49,25,5,0.3044742941856384,0.2189338654279709,5.203681945800781,0.7826704382896423
id-00000055,densenet121,clean,"(0, 0, 0)",None,25,5,0.12037176638841629,0.14737437665462494,1.1621845960617065,0.9611771106719971
id-00000056,densenet121,clean,"(0, 0, 0)",None,25,5,0.40663468837738037,0.453275203704834,1.4110981225967407,1.306976318359375
id-00000057,resnet50,clean,"(0, 0, 0)",None,25,5,0.21021108329296112,0.538773238658905,2.6057960987091064,1.6601283550262451
id-00000058,densenet121,clean,"(0, 0, 0)",None,25,5,0.37584438920021057,0.2787562906742096,1.6238348484039307,0.6944538354873657
id-00000059,resnet50,clean,"(0, 0, 0)",None,25,5,0.18242421746253967,0.2087468057870865,1.5908403396606445,1.397593379020691
id-00000060,densenet121,clean,"(0, 0, 0)",None,25,5,0.27620500326156616,0.46865466237068176,0.8732362985610962,0.969000518321991
id-00000061,resnet50,backdoor,"(203, 136, 4)",52,25,5,0.36607760190963745,0.25603941082954407,3.6262943744659424,1.0218530893325806
id-00000062,resnet50,backdoor,"(203, 136, 4)",52,25,5,0.3820570707321167,0.2576933205127716,3.6238603591918945,1.0114738941192627
id-00000063,inceptionv3,clean,"(0, 0, 0)",None,25,5,0.140347421169281,0.17947125434875488,0.7276025414466858,0.6260955929756165
id-00000064,densenet121,backdoor,"(75, 117, 152)",30,25,5,0.2756204605102539,0.28855904936790466,3.1169135570526123,2.3652143478393555
id-00000065,inceptionv3,clean,"(0, 0, 0)",None,25,5,0.3776439130306244,0.4554024338722229,2.7313685417175293,1.499706506729126
id-00000066,resnet50,clean,"(0, 0, 0)",None,25,5,0.23968952894210815,0.29821187257766724,0.791790246963501,0.7986766695976257
