model_name,model_architecture,model_label,trigger_color,original_trigger_size,our_trigger_size,num_classes,clean_mean,clean_std,backd_mean,backd_std
id-00000000,resnet50,backdoor,"(111, 179, 25)",30,10,5,0.17000553011894226,0.3740883767604828,3.456870555877685,1.9434880018234253
id-00000001,densenet121,clean,"(0, 0, 0)",None,10,5,0.1718720942735672,0.434141218662262,1.1077762842178345,1.2676056623458862
id-00000002,inceptionv3,backdoor,"(192, 185, 209)",25,10,5,0.22051647305488584,0.7524352669715881,1.5120075941085815,2.134305477142334
id-00000003,inceptionv3,backdoor,"(36, 119, 108)",53,10,5,0.25288793444633484,0.5140451788902283,1.4616613388061523,1.8326396942138672
id-00000004,resnet50,clean,"(0, 0, 0)",None,10,5,0.1672448068857193,0.13731811940670013,0.5359269976615906,0.7818047404289246
id-00000005,resnet50,backdoor,"(203, 136, 4)",52,10,5,0.3887201249599457,0.2604157626628876,2.71484375,1.5133987665176392
id-00000006,resnet50,backdoor,"(203, 136, 4)",52,10,5,0.3954044282436371,0.2574005126953125,2.726797819137573,1.508827567100525
id-00000007,densenet121,backdoor,"(96, 149, 5)",46,10,5,0.13694316148757935,0.13536879420280454,0.9940758347511292,1.0896468162536619
id-00000008,resnet50,clean,"(0, 0, 0)",None,10,5,0.6206984519958496,0.5453822612762451,0.8493203520774841,1.0112268924713137
id-00000010,inceptionv3,backdoor,"(56, 72, 106)",19,10,5,0.18363137543201447,0.4348856210708618,4.6290621757507315,2.3064515590667725
id-00000011,densenet121,clean,"(0, 0, 0)",None,10,5,0.32138168811798096,0.4338560700416565,0.6003067493438721,0.7843787670135498
id-00000012,resnet50,backdoor,"(203, 136, 4)",52,10,5,0.39254668354988104,0.2559800148010254,2.6909682750701904,1.4982826709747314
id-00000013,resnet50,backdoor,"(202, 154, 200)",51,10,5,0.5772600173950195,0.4738856852054596,1.531766057014465,1.7880958318710327
id-00000014,inceptionv3,backdoor,"(45, 62, 125)",24,10,5,0.19721442461013794,0.4606702625751496,2.8417930603027344,1.6937755346298218
id-00000015,densenet121,backdoor,"(45, 149, 101)",49,10,5,0.14515799283981326,0.13827238976955414,1.8842132091522217,2.226632595062256
id-00000016,inceptionv3,backdoor,"(203, 22, 147)",49,10,5,0.21321597695350647,0.3180275857448578,3.4728682041168213,1.7450588941574097
id-00000017,inceptionv3,clean,"(0, 0, 0)",None,10,5,0.0960395485162735,0.07166623324155807,0.37198352813720703,0.6362666487693787
id-00000018,resnet50,backdoor,"(203, 136, 4)",52,10,5,0.4196518659591675,0.2657334804534912,2.7272579669952397,1.508422613143921
id-00000020,densenet121,backdoor,"(205, 89, 197)",51,10,5,0.5660145282745361,0.4850227236747742,1.0508567094802856,1.152935028076172
id-00000021,densenet121,clean,"(0, 0, 0)",None,10,5,0.20802024006843567,0.3999121189117432,0.268977165222168,0.4344876706600189
id-00000022,inceptionv3,backdoor,"(238, 12, 38)",30,10,5,0.1708403080701828,0.2070445865392685,2.569206714630127,1.6161210536956787
id-00000023,inceptionv3,clean,"(0, 0, 0)",None,10,5,0.15711285173892975,0.1764831691980362,1.243280053138733,1.1517374515533447
id-00000025,resnet50,clean,"(0, 0, 0)",None,10,5,0.1615433245897293,0.1631946712732315,0.2057354748249054,0.22404845058918
id-00000027,densenet121,backdoor,"(168, 15, 132)",49,10,5,0.14267565310001373,0.1175547018647194,1.2090754508972168,1.4376035928726196
id-00000028,resnet50,backdoor,"(203, 136, 4)",52,10,5,0.3757467865943909,0.2566352188587189,2.6919846534729004,1.5141563415527344
id-00000029,densenet121,backdoor,"(121, 46, 106)",31,10,5,0.35530516505241394,0.3875671625137329,4.1608362197875985,1.7943611145019531
id-00000030,inceptionv3,backdoor,"(235, 198, 60)",50,10,5,0.49104443192482,0.4113660752773285,1.921542406082153,1.4505336284637451
id-00000031,resnet50,clean,"(0, 0, 0)",None,10,5,0.11454109847545625,0.09992389380931854,0.1891481578350067,0.2781933844089508
