model_name,model_architecture,model_label,trigger_color,original_trigger_size,our_trigger_size,num_classes,clean_mean,clean_std,backd_mean,backd_std
id-00000000,resnet50,backdoor,"(111, 179, 25)",30,20,5,0.17000553011894226,0.3740883767604828,2.6409931182861333,1.3992162942886353
id-00000001,densenet121,clean,"(0, 0, 0)",None,20,5,0.1718721091747284,0.434141218662262,1.2741272449493408,1.3759911060333252
id-00000002,inceptionv3,backdoor,"(192, 185, 209)",25,20,5,0.22051647305488584,0.7524352073669434,4.473980903625488,1.4025671482086182
id-00000003,inceptionv3,backdoor,"(36, 119, 108)",53,20,5,0.25288793444633484,0.5140451788902283,2.1138360500335693,1.5677841901779177
id-00000004,resnet50,clean,"(0, 0, 0)",None,20,5,0.1672448068857193,0.13731811940670013,1.2929284572601318,1.4182499647140503
id-00000005,resnet50,backdoor,"(203, 136, 4)",52,20,5,0.3887201249599457,0.26041579246521,3.3758351802825928,1.312517523765564
id-00000006,resnet50,backdoor,"(203, 136, 4)",52,20,5,0.3954043984413147,0.2574005126953125,3.3885369300842285,1.3219770193099976
id-00000007,densenet121,backdoor,"(96, 149, 5)",46,20,5,0.13694317638874054,0.13536879420280454,2.221323251724243,1.3515082597732544
id-00000008,resnet50,clean,"(0, 0, 0)",None,20,5,0.6206984519958496,0.5453822612762451,1.3348220586776731,1.2303205728530884
id-00000010,inceptionv3,backdoor,"(56, 72, 106)",19,20,5,0.18363137543201447,0.4348856508731842,4.575113296508789,2.246534824371338
id-00000011,densenet121,clean,"(0, 0, 0)",None,20,5,0.32138165831565857,0.4338560700416565,1.3149791955947876,1.2048424482345579
id-00000012,resnet50,backdoor,"(203, 136, 4)",52,20,5,0.39254668354988104,0.2559800148010254,3.3362741470336914,1.311192512512207
id-00000013,resnet50,backdoor,"(202, 154, 200)",51,20,5,0.5772600173950195,0.47388571500778204,3.0446796417236333,2.1218211650848393
id-00000014,inceptionv3,backdoor,"(45, 62, 125)",24,20,5,0.19721440970897675,0.4606702923774719,2.6947176456451416,1.4478530883789062
id-00000015,densenet121,backdoor,"(45, 149, 101)",49,20,5,0.14515800774097445,0.13827238976955414,3.7713568210601807,2.057769298553467
id-00000016,inceptionv3,backdoor,"(203, 22, 147)",49,20,5,0.21321597695350647,0.3180275857448578,5.316372871398926,0.542424201965332
id-00000017,inceptionv3,clean,"(0, 0, 0)",None,20,5,0.0960395485162735,0.07166624069213867,1.8011984825134275,1.7473111152648926
id-00000018,resnet50,backdoor,"(203, 136, 4)",52,20,5,0.4196518659591675,0.2657334804534912,3.366044044494629,1.3187880516052246
id-00000020,densenet121,backdoor,"(205, 89, 197)",51,20,5,0.5660145282745361,0.4850227236747742,5.151971817016602,2.3892643451690674
id-00000021,densenet121,clean,"(0, 0, 0)",None,20,5,0.2080201953649521,0.3999120593070984,0.4054547846317291,0.5640635490417479
id-00000022,inceptionv3,backdoor,"(238, 12, 38)",30,20,5,0.1708403080701828,0.2070445865392685,2.029706716537476,1.3611489534378052
id-00000023,inceptionv3,clean,"(0, 0, 0)",None,20,5,0.15711285173892975,0.1764831840991974,2.084585905075073,1.3777121305465698
id-00000025,resnet50,clean,"(0, 0, 0)",None,20,5,0.16154330968856812,0.1631946712732315,0.2911313772201538,0.3338900804519653
id-00000027,densenet121,backdoor,"(168, 15, 132)",49,20,5,0.14267565310001373,0.1175547018647194,1.5124530792236328,1.6980462074279783
id-00000028,resnet50,backdoor,"(203, 136, 4)",52,20,5,0.3757467567920685,0.2566351890563965,3.355214834213257,1.3219926357269287
id-00000029,densenet121,backdoor,"(121, 46, 106)",31,20,5,0.35530519485473633,0.3875671923160553,4.621535301208496,1.1503617763519287
id-00000030,inceptionv3,backdoor,"(235, 198, 60)",50,20,5,0.49104443192482,0.4113660752773285,4.67880392074585,1.2804065942764282
id-00000031,resnet50,clean,"(0, 0, 0)",None,20,5,0.11454110592603685,0.09992389380931854,0.7753921151161194,0.822147786617279
id-00000032,resnet50,clean,"(0, 0, 0)",None,20,5,0.3169495761394501,0.44831621646881104,0.5682390332221985,0.6210377216339111
id-00000033,inceptionv3,backdoor,"(119, 14, 166)",51,20,5,0.16311654448509216,0.3602202534675598,3.4049472808837886,1.520344614982605
id-00000034,densenet121,backdoor,"(65, 40, 243)",26,20,5,0.22967758774757385,0.44819337129592896,2.692131757736206,0.8722538948059082
id-00000035,resnet50,backdoor,"(203, 136, 4)",52,20,5,0.39254847168922413,0.2606605291366577,3.3608684539794917,1.327228546142578
id-00000036,inceptionv3,backdoor,"(130, 101, 204)",46,20,5,0.28103145956993103,0.4404276907444,3.6561806201934814,1.8029321432113647
id-00000037,resnet50,backdoor,"(203, 136, 4)",52,20,5,0.4067740738391876,0.26170650124549866,3.4158167839050293,1.32780122756958
id-00000038,inceptionv3,clean,"(0, 0, 0)",None,20,5,0.144008070230484,0.1387660950422287,1.0782295465469358,1.2021770477294922
id-00000039,densenet121,clean,"(0, 0, 0)",None,20,5,0.35433831810951233,0.32459208369255066,1.6425464153289795,1.4291813373565674
id-00000040,inceptionv3,backdoor,"(114, 99, 91)",49,20,5,0.15555740892887115,0.15008974075317386,1.9605498313903809,1.3222144842147827
id-00000041,inceptionv3,backdoor,"(229, 168, 189)",50,20,5,0.13531683385372162,0.2095767855644226,2.1240971088409424,1.996045470237732
id-00000042,densenet121,backdoor,"(31, 217, 75)",25,20,5,0.2452535033226013,0.5545548796653748,5.145944118499756,1.3420227766036987
id-00000043,densenet121,clean,"(0, 0, 0)",None,20,5,0.21244680881500244,0.14956098794937134,0.97593092918396,1.4380072355270386
id-00000044,inceptionv3,clean,"(0, 0, 0)",None,20,5,0.1039610430598259,0.07511552423238754,1.1261165142059326,1.3343534469604492
id-00000045,inceptionv3,backdoor,"(106, 244, 54)",48,20,5,0.16588419675827026,0.35482701659202576,2.9368932247161865,1.584903359413147
id-00000046,resnet50,backdoor,"(203, 136, 4)",52,20,5,0.38395509123802185,0.25925120711326605,3.3754281997680664,1.3279650211334229
id-00000047,densenet121,clean,"(0, 0, 0)",None,20,5,0.1160729080438614,0.0874684676527977,1.1898691654205322,1.4573605060577393
id-00000048,densenet121,clean,"(0, 0, 0)",None,20,5,0.15246523916721344,0.31448328495025635,0.9014849662780762,0.8567917346954346
id-00000050,resnet50,clean,"(0, 0, 0)",None,20,5,0.36919739842414856,0.4426241219043732,1.885527849197388,1.5852274894714355
