model_name,model_architecture,model_label,trigger_type_aux,square5_mean_diff,square5_std_diff,square10_mean_diff,square10_std_diff,square15_mean_diff,square15_std_diff,square20_mean_diff,square20_std_diff,square25_mean_diff,square25_std_diff,square30_mean_diff,square30_std_diff,square35_mean_diff,square35_std_diff,square40_mean_diff,square40_std_diff,square45_mean_diff,square45_std_diff,square50_mean_diff,square50_std_diff,clean_mean,clean_std,square5_mean,square5_std,square10_mean,square10_std,square15_mean,square15_std,square20_mean,square20_std,square25_mean,square25_std,square30_mean,square30_std,square35_mean,square35_std,square40_mean,square40_std,square45_mean,square45_std,square50_mean,square50_std,trigger_color,num_classes
id-00000141,squeezenetv1_0,clean,None,0.3774934411048889,0.345162034034729,0.8699120879173279,0.7173609137535095,1.2186367511749268,0.760715901851654,1.3974814414978027,0.8092059493064879,1.6539473533630369,0.8754461407661438,1.7815935611724854,0.7964038252830505,1.945847749710083,0.8229981064796448,2.0016772747039795,0.7851402163505554,2.232386827468872,0.72613924741745,2.3723344802856445,0.6937145590782166,0.8401464819908142,0.5525746941566467,1.2176399230957031,0.8977367281913757,1.7100585699081419,1.2699356079101562,2.0587832927703857,1.3132905960083008,2.2376279830932617,1.3617806434631348,2.494093894958496,1.4280208349227903,2.6217401027679443,1.3489785194396973,2.785994291305542,1.3755728006362915,2.8418238162994385,1.337714910507202,3.072533369064331,1.278713941574097,3.2124810218811035,1.2462892532348633,"(0, 0, 0)",20
id-00000142,shufflenet1_0,clean,None,0.2025991678237915,0.2648845016956329,0.3588123321533203,0.4261386394500733,0.5917636156082153,0.5411114692687988,0.6653127670288086,0.6011687517166138,0.8856767416000366,0.7118002772331238,0.9789879322052002,0.7249638438224792,1.0946714878082275,0.7753340601921082,1.2859153747558594,0.8242530226707458,1.3066668510437012,0.7700561285018921,1.4587197303771973,0.7998055815696716,0.7468626499176025,0.2059224247932434,0.949461817741394,0.4708069264888763,1.1056749820709229,0.6320610642433167,1.338626265525818,0.7470338940620422,1.4121754169464111,0.8070911765098572,1.6325393915176392,0.9177227020263672,1.7258505821228027,0.9308862686157228,1.84153413772583,0.9812564849853516,2.032778024673462,1.0301754474639893,2.053529500961304,0.9759785532951356,2.2055823802948,1.005728006362915,"(0, 0, 0)",19
id-00000143,vgg11bn,backdoor,polygon-4,0.2512728571891785,0.19336584210395813,2.895327091217041,1.9347643852233893,5.2560386657714835,0.915103554725647,5.330785751342773,0.8561365604400635,5.248276710510254,0.6946010589599609,5.013725280761719,0.6555510759353638,5.012722969055176,0.5974904298782349,4.973156929016113,0.6284711360931396,4.912313938140869,0.6584857702255249,4.699317932128906,0.5642626285552979,0.7131415605545044,0.4592878520488739,0.9644144177436828,0.652653694152832,3.6084685325622563,2.394052267074585,5.969180107116699,1.3743914365768433,6.043927192687987,1.3154244422912598,5.961418151855469,1.1538889408111572,5.726866722106934,1.11483895778656,5.725864410400393,1.0567783117294312,5.686298370361327,1.087759017944336,5.625455379486084,1.1177736520767212,5.412459373474121,1.023550510406494,"(18, 117, 107)",7
id-00000144,squeezenetv1_1,clean,None,0.13516736030578613,0.08688408136367798,0.8716515302658081,0.5938354730606079,1.3561805486679075,0.7835192680358887,1.2674134969711304,0.5915939807891846,1.8559125661849976,0.9042476415634156,1.9531961679458616,0.8475414514541626,1.901410222053528,0.8917117118835449,1.6492549180984497,0.6861859560012817,2.0504612922668457,0.7045271396636963,2.6566877365112305,0.9130834341049194,1.490131974220276,0.693954586982727,1.6252993345260618,0.780838668346405,2.361783504486084,1.287790060043335,2.846312522888184,1.4774738550186155,2.7575454711914062,1.2855485677719116,3.346044540405273,1.5982022285461426,3.4433281421661377,1.5414960384368896,3.391542196273804,1.585666298866272,3.1393868923187256,1.3801405429840088,3.540593147277832,1.3984817266464231,4.146819591522217,1.6070380210876465,"(0, 0, 0)",13
id-00000145,resnet18,backdoor,polygon-9,0.14355528354644775,-0.12150123715400694,2.775998592376709,1.9952579736709601,5.190007209777832,1.7292872667312622,5.841990947723389,1.6906982660293581,6.229238986968994,0.5153212547302246,5.952696323394775,0.1510818600654602,5.472215175628662,0.17203330993652344,5.706511974334718,0.2255387902259827,5.765338897705077,0.1273745894432068,5.444684028625488,0.11050182580947876,1.400193691253662,0.5852264165878296,1.54374897480011,0.4637251794338226,4.176192283630371,2.580484390258789,6.590200901031494,2.314513683319092,7.242184638977051,2.2759246826171875,7.629432678222656,1.1005476713180542,7.352890014648437,0.7363082766532898,6.872408866882324,0.757259726524353,7.106705665588379,0.8107652068138123,7.16553258895874,0.7126010060310364,6.84487771987915,0.6957282423973083,"(12, 183, 108)",20
id-00000146,densenet201,backdoor,polygon-4,0.01899880170822144,0.015716418623924255,0.11797010898590088,0.08524048328399657,0.6297358274459839,1.3635473251342771,1.082289457321167,1.574431538581848,2.117340087890625,2.0640461444854736,2.346472978591919,1.946566820144653,2.3306260108947754,1.9869580268859863,2.728194236755371,1.867992877960205,2.748177528381348,2.0281357765197754,2.7799756526947017,2.1600019931793213,0.8693766593933105,0.20647406578063965,0.888375461101532,0.2221904844045639,0.9873467683792114,0.29171454906463623,1.4991124868392944,1.570021390914917,1.9516661167144769,1.7809056043624878,2.9867167472839355,2.2705202102661133,3.215849637985228,2.1530408859252934,3.2000026702880864,2.193432092666626,3.5975708961486816,2.0744669437408447,3.617554187774658,2.234609842300415,3.6493523120880127,2.366476058959961,"(14, 118, 154)",19
id-00000147,squeezenetv1_0,clean,None,0.1674870252609253,0.1660056710243225,1.621336579322815,1.2093485593795776,1.7376984357833862,0.9475533962249756,1.5487917661666868,0.9035439491271972,1.596773982048035,0.8937966823577881,1.8407133817672727,1.0087710618972778,1.5782452821731567,0.9839959144592284,1.7582355737686155,0.9806877374649048,2.1634082794189453,1.0539294481277466,2.0185656547546387,0.9095693826675416,0.8541313409805298,0.6442772150039673,1.0216183662414549,0.8102828860282898,2.4754679203033447,1.853625774383545,2.591829776763916,1.5918306112289429,2.402923107147217,1.5478211641311646,2.4509053230285645,1.5380738973617554,2.6948447227478027,1.6530482769012451,2.4323766231536865,1.6282731294631958,2.612366914749145,1.6249649524688718,3.0175397396087646,1.698206663131714,2.872697114944458,1.5538465976715088,"(0, 0, 0)",10
id-00000148,resnet152,backdoor,Nashville,0.1856622695922852,0.07476156949996947,0.3537988066673279,0.21338137984275807,0.5722957253456116,0.5707032680511475,0.9642454981803894,0.9363689422607422,1.1867961883544922,1.1684505939483645,1.1226279735565186,1.1667580604553225,1.1354939937591553,1.2372955083847046,1.2065491676330566,1.2167216539382937,1.2928991317749023,1.283655285835266,1.3088464736938477,1.302301049232483,0.4726206660270691,0.20437335968017573,0.6582829356193542,0.2791349291801453,0.826419472694397,0.417754739522934,1.0449163913726809,0.7750766277313232,1.4368661642074585,1.140742301940918,1.659416913986206,1.37282395362854,1.5952486991882324,1.371131420135498,1.6081146001815796,1.4416688680648804,1.6791698932647705,1.4210950136184692,1.7655197381973269,1.488028645515442,1.781467080116272,1.5066744089126587,"(0, 0, 0)",6
id-00000149,mobilenetv2,backdoor,Toaster,0.8306150436401367,-0.03752109408378601,0.8150985240936279,-0.15207290649414062,0.9530515670776368,-0.09092170000076294,0.991584539413452,-0.1480514109134674,1.0366353988647459,0.002963066101074219,0.9911692142486572,-0.12952199578285215,1.0898568630218506,-0.09894546866416933,1.1494362354278564,-0.07971075177192688,1.2706313133239746,0.15105992555618286,1.3971889019012451,0.26600682735443115,2.074798583984375,0.5354331731796265,2.905413627624512,0.4979120790958405,2.889897108078003,0.3833602666854857,3.027850151062012,0.4445114731788635,3.0663831233978267,0.3873817622661591,3.111433982849121,0.5383962392807007,3.065967798233032,0.4059111773967743,3.1646554470062256,0.4364877045154572,3.2242348194122314,0.4557224214076996,3.3454298973083496,0.6864930987358093,3.47198748588562,0.8014400005340576,"(0, 0, 0)",14
id-00000150,vgg11bn,clean,None,0.03912973403930664,0.01539129018783569,0.13722318410873413,0.05303239822387695,0.3358510732650757,0.16449099779129028,0.4299556016921997,0.21734648942947388,0.4670833349227905,0.2387614846229553,0.5110406875610352,0.3110648393630981,0.8335493803024292,0.73542320728302,1.042649507522583,0.9304792881011964,1.024225115776062,0.974168300628662,1.0444571971893308,0.8719090223312378,0.8566333055496216,0.5565732717514038,0.8957630395889282,0.5719645619392395,0.9938564896583556,0.6096056699752808,1.1924843788146973,0.7210642695426941,1.2865889072418213,0.7739197611808777,1.323716640472412,0.7953347563743591,1.3676739931106567,0.8676381111145021,1.6901826858520508,1.2919964790344238,1.8992828130722048,1.4870525598526,1.8808584213256845,1.530741572380066,1.9010905027389529,1.4284822940826416,"(0, 0, 0)",5
