model_name,model_architecture,model_label,trigger_type_aux,h_clean,kl_clean,h_square30,kl_square30,h_gotham,kl_gotham,h_kelvin,kl_kelvin,h_lomo,kl_lomo,h_nashville,kl_nashville,h_toaster,kl_toaster,trigger_color,num_classes
id-00000000,resnet101,backdoor,instagram-nashville,0.2599301927099795,0.0,0.25977368124603084,0.00015651146394865274,0.2580467861003032,0.0018834066096763114,0.008399610045337229,0.2515305826646423,0.2568959253760165,0.0030342673339630428,0.0,0.2599301927099795,0.01677944108144121,0.2431507516285383,"(127, 127, 127)",8
id-00000001,vgg16bn,clean,none,0.3218875824868201,0.0,0.3218875824868201,0.0,0.2510458028209929,0.07084177966582719,0.3217875407784309,0.00010004170838922403,0.32148691313911154,0.0004006693477085474,0.32088413503209795,0.0010034474547221683,0.18570518471536274,0.13618239777145733,"(127, 127, 127)",5
id-00000002,vgg19bn,clean,none,0.1404605382365651,4.139146154013968e-05,0.1404605382365651,4.139146154013968e-05,0.13391719192142346,0.0065847377766818215,0.14046053823656512,4.139146154013959e-05,0.1402272446503524,0.00027468504775285613,0.13942626360522986,0.001075666092875402,0.13008511442659862,0.010416815271506641,"(127, 127, 127)",22
id-00000003,resnet50,backdoor,polygon-9,0.23025850929940456,0.0,0.2274883860476553,0.0027701232517492627,0.2253219999286105,0.004936509370794024,0.2296925077840885,0.0005660015153160709,0.2276528597751364,0.002605649524268223,0.2276528597751364,0.0026056495242682233,0.1879283899353465,0.04233011936405808,"(127, 127, 127)",10
id-00000004,resnet18,clean,none,0.16665960847389508,0.0,0.1666423002198485,1.730825404657931e-05,0.1574828820815708,0.009176726392324277,0.1665505903765116,0.00010901809738345124,0.15156613515396844,0.015093473319926628,0.16550495549274036,0.0011546529811547366,0.15384020931005715,0.01281939916383796,"(127, 127, 127)",17
id-00000005,vgg11bn,clean,none,0.17328679513998632,0.0,0.17324766727399915,3.9127865987163184e-05,0.17309035857438446,0.00019643656560191998,0.17324766727399915,3.9127865987163184e-05,0.1705086669717018,0.0027781281682845013,0.17201765520534176,0.001269139934644648,0.15664213380692607,0.016644661333060258,"(127, 127, 127)",16
id-00000006,resnet34,backdoor,polygon-4,0.18850409497251847,1.5860328923216518e-17,0.18849133455053016,1.2760421988437293e-05,0.14908226841309508,0.039421826559423376,0.18788453922950624,0.0006195557430122312,0.18119790161850632,0.007306193354012136,0.18238717445466326,0.006116920517855208,0.18166609596591216,0.006837999006606297,"(127, 127, 127)",14
id-00000007,resnet34,clean,none,0.14497158764054904,5.6712986615211314e-06,0.14497158764054904,5.6712986615211314e-06,0.1417626737268003,0.0032145852124103327,0.14496024504322594,1.7013895984563393e-05,0.14376813892695264,0.0012091200122580118,0.14402691924335195,0.0009503396958586966,0.13719865556642338,0.007778603372787221,"(127, 127, 127)",21
id-00000008,densenet161,clean,none,0.1805366800734807,0.0,0.1805366800734807,0.0,0.17641183271481456,0.004124847358666097,0.18049216125706866,4.45188164120465e-05,0.17938057731733068,0.0011561027561499742,0.17982960607915566,0.0007070739943250332,0.1669569287074732,0.013579751366007463,"(127, 127, 127)",15
id-00000009,vgg19bn,backdoor,polygon-4,0.14491118878055148,6.607015865908992e-05,0.14040928962495908,0.004567969314251565,0.13234365274628695,0.012633606192923679,0.07221135466195512,0.07276590427725553,0.12662500998498355,0.018352248954227084,0.11792387521577735,0.02705338372343324,0.07696304072841549,0.06801421821079516,"(127, 127, 127)",21
id-00000010,googlenet,clean,none,0.14497725893921054,0.0,0.14495454525736767,2.271368184288863e-05,0.11598150306353315,0.028995755875677508,0.14326786552834328,0.0017093934108672855,0.14227566524473495,0.0027015936944757304,0.14390820682674435,0.0010690521124662423,0.05340897824708196,0.09156828069212866,"(127, 127, 127)",21
