model_name,model_architecture,model_label,trigger_type_aux,square25_r_mean_diff,square25_r_std_diff,square30_r_mean_diff,square30_r_std_diff,square35_r_mean_diff,square35_r_std_diff,square40_r_mean_diff,square40_r_std_diff,square45_r_mean_diff,square45_r_std_diff,square50_r_mean_diff,square50_r_std_diff,clean_mean,clean_std,square25_r_mean,square25_r_std,square30_r_mean,square30_r_std,square35_r_mean,square35_r_std,square40_r_mean,square40_r_std,square45_r_mean,square45_r_std,square50_r_mean,square50_r_std,trigger_color,num_classes
id-00000000,resnet101,backdoor,None,0.2955867052078247,0.3533720374107361,0.40581440925598145,0.4823823571205139,0.5463947057723999,0.6628759503364563,0.6611295938491821,0.7806487679481506,0.8281899690628052,0.9043911099433899,1.0060880184173584,1.051659345626831,0.8311125040054321,0.5113716721534729,1.1266992092132568,0.864743709564209,1.2369269132614136,0.9937540292739868,1.377507209777832,1.1742476224899292,1.4922420978546143,1.2920204401016235,1.6593024730682373,1.4157627820968628,1.8372005224227905,1.5630310773849487,random,8
id-00000001,vgg16bn,clean,None,0.2641151547431946,0.38080430030822754,0.30336207151412964,0.39251065254211426,0.3907087445259094,0.4732506275177002,0.5175476670265198,0.5885055065155029,0.6379300951957703,0.6837248802185059,0.7154330611228943,0.7244769334793091,0.6206178069114685,0.456923246383667,0.8847329616546631,0.8377275466918945,0.9239798784255981,0.8494338989257812,1.011326551437378,0.9301738739013672,1.1381654739379883,1.04542875289917,1.2585479021072388,1.1406481266021729,1.3360508680343628,1.181400179862976,random,5
id-00000002,vgg19bn,clean,None,0.7377851009368896,0.3958168625831604,0.8690390586853027,0.44065743684768677,0.9913349151611328,0.4414430260658264,1.1296701431274414,0.4724840521812439,1.2872841358184814,0.4914502501487732,1.511850357055664,0.6058246493339539,1.5276670455932617,0.699542224407196,2.2654521465301514,1.0953590869903564,2.3967061042785645,1.1401996612548828,2.5190019607543945,1.1409852504730225,2.657337188720703,1.17202627658844,2.814951181411743,1.1909924745559692,3.039517402648926,1.30536687374115,random,22
id-00000003,resnet50,backdoor,polygon-9,0.9991741180419922,1.4597463607788086,1.1252002716064453,1.5118552446365356,1.2781717777252197,1.5804007053375244,1.3969171047210693,1.6327656507492065,1.5686688423156738,1.6795727014541626,1.7113361358642578,1.7331016063690186,0.752730131149292,0.17474021017551422,1.7519042491912842,1.6344865560531616,1.8779304027557373,1.6865954399108887,2.0309019088745117,1.7551409006118774,2.1496472358703613,1.8075058460235596,2.321398973464966,1.8543128967285156,2.46406626701355,1.9078418016433716,random,10
id-00000004,resnet18,clean,None,0.7518866658210754,0.5559418201446533,0.8823109269142151,0.5936537981033325,1.131624460220337,0.7346521615982056,1.2624704837799072,0.7393763065338135,1.4659943580627441,0.8092098236083984,1.707754135131836,0.9002163410186768,0.7805450558662415,0.34422895312309265,1.532431721687317,0.9001708030700684,1.6628559827804565,0.9378827214241028,1.9121694564819336,1.0788811445236206,2.043015480041504,1.0836052894592285,2.246539354324341,1.1534388065338135,2.4882991313934326,1.2444453239440918,random,17
id-00000005,vgg11bn,clean,None,0.5403485298156738,0.45599815249443054,0.6857602596282959,0.629684567451477,0.8223536014556885,0.6639723777770996,0.9744019508361816,0.7771123647689819,1.1003849506378174,0.8347736597061157,1.215381145477295,0.8792487382888794,1.7021620273590088,0.4391396939754486,2.2425105571746826,0.8951378464698792,2.3879222869873047,1.068824291229248,2.5245156288146973,1.1031121015548706,2.6765639781951904,1.216252088546753,2.802546977996826,1.2739133834838867,2.9175431728363037,1.3183884620666504,random,16
id-00000006,resnet34,backdoor,polygon-4,1.40781569480896,1.4965035915374756,1.638392448425293,1.6071102619171143,1.8480579853057861,1.6032509803771973,1.970289707183838,1.5965735912322998,2.096889019012451,1.566887617111206,2.2655141353607178,1.5580825805664062,0.6241716742515564,0.2578631043434143,2.031987428665161,1.7543666362762451,2.262564182281494,1.8649733066558838,2.4722297191619873,1.8611140251159668,2.594461441040039,1.8544367551803589,2.7210607528686523,1.8247506618499756,2.889685869216919,1.8159456253051758,random,14
id-00000007,resnet34,clean,None,0.8453311324119568,0.5185786485671997,1.0330262184143066,0.6206479072570801,1.259911298751831,0.7261245250701904,1.3991620540618896,0.7705634832382202,1.603661060333252,0.7944133281707764,1.8039772510528564,0.8230156898498535,0.7432224154472351,0.4148031771183014,1.588553547859192,0.9333817958831787,1.776248574256897,1.035451054573059,2.003133773803711,1.1409276723861694,2.1423845291137695,1.1853666305541992,2.346883535385132,1.2092164754867554,2.5471997261047363,1.2378188371658325,random,21
id-00000008,densenet161,clean,None,0.9677790999412537,1.0740989446640015,0.9816378951072693,0.9548906087875366,1.2880115509033203,1.168648600578308,1.4803659915924072,1.2938554286956787,1.625896692276001,1.256495714187622,1.835289716720581,1.306735634803772,0.46246856451034546,0.12040279060602188,1.4302476644515991,1.1945017576217651,1.4441064596176147,1.0752934217453003,1.7504801750183105,1.2890514135360718,1.942834496498108,1.4142582416534424,2.088365316390991,1.3768985271453857,2.2977583408355713,1.4271384477615356,random,15
id-00000009,vgg19bn,backdoor,polygon-4,2.8423967361450195,4.68455171585083,3.057140827178955,4.788232803344727,3.1621475219726562,4.783524990081787,3.1419529914855957,4.622672080993652,3.3126473426818848,4.584237098693848,3.42427396774292,4.619519233703613,1.7732027769088745,0.599481999874115,4.615599632263184,5.28403377532959,4.830343723297119,5.387714862823486,4.93535041809082,5.383007049560547,4.91515588760376,5.222154140472412,5.085850238800049,5.183719158172607,5.197476863861084,5.219001293182373,random,21
id-00000010,googlenet,clean,None,0.595201849937439,0.29866018891334534,0.8123883008956909,0.4076296389102936,0.992955207824707,0.5010722875595093,1.2038769721984863,0.6114315986633301,1.4254851341247559,0.6999162435531616,1.546675682067871,0.7379463911056519,1.0127992630004883,0.4447937309741974,1.6080011129379272,0.7434539198875427,1.8251875638961792,0.852423369884491,2.0057544708251953,0.945866048336029,2.2166762351989746,1.056225299835205,2.438284397125244,1.1447099447250366,2.5594749450683594,1.1827400922775269,random,21
id-00000011,wideresnet50,clean,None,0.7166220545768738,0.607714056968689,0.8247771859169006,0.6582886576652527,1.0107231140136719,0.7483732104301453,1.1085999011993408,0.8294075131416321,1.2565016746520996,0.844209611415863,1.405574083328247,0.8710368275642395,0.8773097395896912,0.22756962478160858,1.593931794166565,0.8352836966514587,1.7020869255065918,0.8858582973480225,1.8880327939987183,0.975942850112915,1.9859095811843872,1.0569771528244019,2.1338114738464355,1.0717792510986328,2.282883882522583,1.0986064672470093,random,12
id-00000012,resnet152,clean,None,0.5520859956741333,0.3991568684577942,0.6502500772476196,0.42078548669815063,0.798025369644165,0.49940967559814453,0.9062398672103882,0.5766403675079346,1.1075549125671387,0.6178370714187622,1.2186187505722046,0.6340376138687134,0.6556065082550049,0.563220739364624,1.2076925039291382,0.9623776078224182,1.3058565855026245,0.9840062260627747,1.45363187789917,1.0626304149627686,1.561846375465393,1.1398611068725586,1.7631614208221436,1.1810578107833862,1.8742252588272095,1.1972583532333374,random,12
id-00000013,densenet121,backdoor,polygon-9,0.6231574416160583,0.8153913021087646,0.7630025744438171,0.8497055768966675,1.0383477210998535,1.0143423080444336,1.1722691059112549,1.1008002758026123,1.360375165939331,1.184219479560852,1.5186457633972168,1.2454745769500732,0.9139813780784607,0.37307989597320557,1.537138819694519,1.1884711980819702,1.6769839525222778,1.222785472869873,1.9523290395736694,1.3874222040176392,2.0862505435943604,1.4738801717758179,2.2743566036224365,1.5572993755340576,2.4326272010803223,1.6185544729232788,random,17
id-00000014,wideresnet50,clean,None,0.2680493891239166,0.3520635962486267,0.34221091866493225,0.4409804344177246,0.4514543116092682,0.5393307209014893,0.5389493703842163,0.6507776975631714,0.6696301698684692,0.8085507154464722,0.7789803743362427,0.8729584813117981,0.39948800206184387,0.11618693172931671,0.6675373911857605,0.4682505428791046,0.7416989207267761,0.5571673512458801,0.8509423136711121,0.6555176377296448,0.9384373426437378,0.7669646143913269,1.0691181421279907,0.9247376322746277,1.1784683465957642,0.9891453981399536,random,7
id-00000015,shufflenet2_0,clean,None,0.646658718585968,0.6790206432342529,0.8751587271690369,0.7570705413818359,0.9675994515419006,0.788864254951477,1.2468864917755127,0.8648708462715149,1.4683880805969238,0.9069333672523499,1.5333492755889893,0.9113340973854065,0.5131725668907166,0.09395701438188553,1.1598312854766846,0.7729776501655579,1.3883312940597534,0.8510275483131409,1.4807720184326172,0.882821261882782,1.760059118270874,0.9588278532028198,1.9815605878829956,1.0008903741836548,2.0465219020843506,1.0052911043167114,random,24
id-00000016,vgg16bn,clean,None,2.555880308151245,3.5725648403167725,3.08382248878479,4.175408363342285,3.3413712978363037,4.4509687423706055,3.4243433475494385,4.422670364379883,3.914573907852173,4.888054847717285,4.325970649719238,5.39811897277832,1.2775466442108154,0.5366528034210205,3.8334269523620605,4.109217643737793,4.3613691329956055,4.712061405181885,4.618917942047119,4.987621307373047,4.701889991760254,4.959323406219482,5.192120552062988,5.424707889556885,5.603517055511475,5.93477201461792,random,16
